"DATA","ANNO","NOME_PROVINCIA","DECESSI"
"2015-02-18",15,"Bergamo",68
"2015-02-18",15,"Brescia",40
"2015-02-18",15,"Como",6
"2015-02-18",15,"Cremona",18
"2015-02-18",15,"Lecco",12
"2015-02-18",15,"Lodi",12
"2015-02-18",15,"Mantova",22
"2015-02-18",15,"Milano",152
"2015-02-18",15,"Monza e della Brianza",22
"2015-02-18",15,"Pavia",14
"2015-02-18",15,"Sondrio",4
"2015-02-18",15,"Varese",8
"2015-02-19",15,"Bergamo",36
"2015-02-19",15,"Brescia",48
"2015-02-19",15,"Como",8
"2015-02-19",15,"Cremona",22
"2015-02-19",15,"Lecco",10
"2015-02-19",15,"Lodi",10
"2015-02-19",15,"Mantova",26
"2015-02-19",15,"Milano",186
"2015-02-19",15,"Monza e della Brianza",14
"2015-02-19",15,"Pavia",18
"2015-02-19",15,"Sondrio",4
"2015-02-19",15,"Varese",4
"2015-02-20",15,"Bergamo",52
"2015-02-20",15,"Brescia",50
"2015-02-20",15,"Como",12
"2015-02-20",15,"Cremona",22
"2015-02-20",15,"Lecco",4
"2015-02-20",15,"Lodi",18
"2015-02-20",15,"Mantova",10
"2015-02-20",15,"Milano",146
"2015-02-20",15,"Monza e della Brianza",10
"2015-02-20",15,"Pavia",30
"2015-02-20",15,"Sondrio",4
"2015-02-20",15,"Varese",12
"2015-02-21",15,"Bergamo",32
"2015-02-21",15,"Brescia",42
"2015-02-21",15,"Como",14
"2015-02-21",15,"Cremona",10
"2015-02-21",15,"Lecco",6
"2015-02-21",15,"Lodi",14
"2015-02-21",15,"Mantova",28
"2015-02-21",15,"Milano",164
"2015-02-21",15,"Monza e della Brianza",16
"2015-02-21",15,"Pavia",26
"2015-02-21",15,"Sondrio",0
"2015-02-21",15,"Varese",4
"2015-02-22",15,"Bergamo",52
"2015-02-22",15,"Brescia",40
"2015-02-22",15,"Como",8
"2015-02-22",15,"Cremona",16
"2015-02-22",15,"Lecco",4
"2015-02-22",15,"Lodi",10
"2015-02-22",15,"Mantova",10
"2015-02-22",15,"Milano",128
"2015-02-22",15,"Monza e della Brianza",20
"2015-02-22",15,"Pavia",20
"2015-02-22",15,"Sondrio",2
"2015-02-22",15,"Varese",2
"2015-02-23",15,"Bergamo",38
"2015-02-23",15,"Brescia",50
"2015-02-23",15,"Como",12
"2015-02-23",15,"Cremona",18
"2015-02-23",15,"Lecco",4
"2015-02-23",15,"Lodi",16
"2015-02-23",15,"Mantova",26
"2015-02-23",15,"Milano",144
"2015-02-23",15,"Monza e della Brianza",12
"2015-02-23",15,"Pavia",20
"2015-02-23",15,"Sondrio",2
"2015-02-23",15,"Varese",6
"2015-02-24",15,"Bergamo",70
"2015-02-24",15,"Brescia",48
"2015-02-24",15,"Como",16
"2015-02-24",15,"Cremona",18
"2015-02-24",15,"Lecco",4
"2015-02-24",15,"Lodi",10
"2015-02-24",15,"Mantova",24
"2015-02-24",15,"Milano",136
"2015-02-24",15,"Monza e della Brianza",18
"2015-02-24",15,"Pavia",24
"2015-02-24",15,"Sondrio",2
"2015-02-24",15,"Varese",2
"2015-02-25",15,"Bergamo",34
"2015-02-25",15,"Brescia",48
"2015-02-25",15,"Como",8
"2015-02-25",15,"Cremona",16
"2015-02-25",15,"Lecco",8
"2015-02-25",15,"Lodi",18
"2015-02-25",15,"Mantova",10
"2015-02-25",15,"Milano",148
"2015-02-25",15,"Monza e della Brianza",20
"2015-02-25",15,"Pavia",28
"2015-02-25",15,"Sondrio",4
"2015-02-25",15,"Varese",4
"2015-02-26",15,"Bergamo",46
"2015-02-26",15,"Brescia",42
"2015-02-26",15,"Como",8
"2015-02-26",15,"Cremona",14
"2015-02-26",15,"Lecco",4
"2015-02-26",15,"Lodi",16
"2015-02-26",15,"Mantova",18
"2015-02-26",15,"Milano",160
"2015-02-26",15,"Monza e della Brianza",12
"2015-02-26",15,"Pavia",18
"2015-02-26",15,"Sondrio",4
"2015-02-26",15,"Varese",4
"2015-02-27",15,"Bergamo",56
"2015-02-27",15,"Brescia",36
"2015-02-27",15,"Como",12
"2015-02-27",15,"Cremona",12
"2015-02-27",15,"Lecco",10
"2015-02-27",15,"Lodi",6
"2015-02-27",15,"Mantova",22
"2015-02-27",15,"Milano",170
"2015-02-27",15,"Monza e della Brianza",12
"2015-02-27",15,"Pavia",18
"2015-02-27",15,"Sondrio",2
"2015-02-27",15,"Varese",6
"2015-02-28",15,"Bergamo",44
"2015-02-28",15,"Brescia",44
"2015-02-28",15,"Como",10
"2015-02-28",15,"Cremona",14
"2015-02-28",15,"Lecco",4
"2015-02-28",15,"Lodi",10
"2015-02-28",15,"Mantova",20
"2015-02-28",15,"Milano",128
"2015-02-28",15,"Monza e della Brianza",10
"2015-02-28",15,"Pavia",14
"2015-02-28",15,"Sondrio",4
"2015-02-28",15,"Varese",6
"2015-03-01",15,"Bergamo",48
"2015-03-01",15,"Brescia",42
"2015-03-01",15,"Como",14
"2015-03-01",15,"Cremona",10
"2015-03-01",15,"Lecco",12
"2015-03-01",15,"Lodi",14
"2015-03-01",15,"Mantova",26
"2015-03-01",15,"Milano",148
"2015-03-01",15,"Monza e della Brianza",12
"2015-03-01",15,"Pavia",24
"2015-03-01",15,"Sondrio",2
"2015-03-01",15,"Varese",6
"2015-03-02",15,"Bergamo",48
"2015-03-02",15,"Brescia",40
"2015-03-02",15,"Como",16
"2015-03-02",15,"Cremona",22
"2015-03-02",15,"Lecco",2
"2015-03-02",15,"Lodi",14
"2015-03-02",15,"Mantova",24
"2015-03-02",15,"Milano",138
"2015-03-02",15,"Monza e della Brianza",22
"2015-03-02",15,"Pavia",16
"2015-03-02",15,"Sondrio",2
"2015-03-02",15,"Varese",2
"2015-03-03",15,"Bergamo",66
"2015-03-03",15,"Brescia",42
"2015-03-03",15,"Como",8
"2015-03-03",15,"Cremona",14
"2015-03-03",15,"Lecco",8
"2015-03-03",15,"Lodi",18
"2015-03-03",15,"Mantova",8
"2015-03-03",15,"Milano",150
"2015-03-03",15,"Monza e della Brianza",16
"2015-03-03",15,"Pavia",6
"2015-03-03",15,"Sondrio",8
"2015-03-03",15,"Varese",10
"2015-03-04",15,"Bergamo",52
"2015-03-04",15,"Brescia",60
"2015-03-04",15,"Como",12
"2015-03-04",15,"Cremona",24
"2015-03-04",15,"Lecco",8
"2015-03-04",15,"Lodi",10
